Id,Importance
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-0.0011723159127264666
7,-0.0051521298978807
8,0.0
9,-0.0017244968109972462
10,0.012458743300122579
11,2.816974216893007E-4
12,-0.017487514018762477
13,0.0
14,-0.006932875494203085
15,0.0
16,-0.013599211731439357
17,-0.009725111232458335
18,-0.0045163302398763955
19,4.58398590041844E-5
20,-0.009921107881920053
21,-0.016386573905057093
22,-0.02756402302345144
23,-0.009921107881920053
24,-0.0030502296764507945
25,-0.0030502296764507945
26,0.0012022983942813897
27,-0.0017329722519557403
28,-0.0017329722519557403
29,-0.0017329722519557403
30,-0.0017329722519557403
31,-0.0017329722519557403
32,-0.0017329722519557403
33,-0.0017329722519557403
34,-0.0017329722519557403
35,-0.0017329722519557403
36,-0.0017329722519557403
37,-0.0017329722519557403
38,-0.004538517972291076
39,-0.0017329722519557403
40,-0.0017329722519557403
41,-0.0017329722519557403
42,-0.0017329722519557403
43,-0.0017329722519557403
44,-0.0017329722519557403
45,-0.0017329722519557403
46,-0.0017329722519557403
47,-0.0017329722519557403
48,-0.0017329722519557403
49,-0.0017329722519557403
50,-0.0017329722519557403
51,-0.0017329722519557403
52,-0.0017329722519557403
53,-0.0017329722519557403
54,-0.0017329722519557403
55,-0.0017329722519557403
56,-0.0017329722519557403
57,0.24138830067599928
58,-0.009921107881920053
59,-0.009496525264735437
60,-0.009496525264735437
61,0.009589470509666811
62,-0.022037650261566136
63,-0.027442427903609793
64,-0.0015741429215934688
