Id,Importance
0,0.0
1,0.0
2,-0.028898821994218234
3,-0.00137586301445047
4,0.006368455591208324
5,0.1396410380992611
6,-0.04317392910076066
7,-0.04317392910076066
8,0.023230459649624835
9,0.08912102816353015
10,-0.1222534547370219
11,0.0
12,0.0
13,-0.002007243137410259
14,-0.010701441458338165
15,0.0
16,-0.0039485747857927285
17,0.029898710770625718
18,0.0012279680623702178
19,-0.03922803896761631
20,0.0
21,-0.015578855105581376
22,0.0
23,-0.030709458609814576
24,0.013039034202266452
25,0.01091084721959253
26,-0.06587051660825699
27,-0.008238637876738304
28,0.00864472020641182
29,-0.008238637876738304
30,0.03416949838444995
31,0.03416949838444995
32,0.03416949838444995
33,-0.008238637876738304
34,-0.008238637876738304
35,-0.026232315157369554
36,0.04151623616610387
37,0.0
38,0.0
