Id,Name
70,org.apache.log4j.helpers.Transform
95,org.apache.log4j.lf5.util.LogFileParser$1
15,org.apache.log4j.chainsaw.ControlPanel
131,org.apache.log4j.lf5.viewer.LogBrokerMonitor$12
184,org.apache.log4j.net.JMSSink
246,org.apache.log4j.varia.Roller
114,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$5
40,org.apache.log4j.helpers.AbsoluteTimeDateFormat
148,org.apache.log4j.lf5.viewer.LogBrokerMonitor$28
201,org.apache.log4j.or.RendererMap
219,org.apache.log4j.spi.LocationInfo
169,org.apache.log4j.lf5.viewer.LogFactor5LoadingDialog
241,org.apache.log4j.varia.HUPNode
190,org.apache.log4j.net.SocketHubAppender$ServerMonitor
248,org.apache.log4j.WriterAppender
187,org.apache.log4j.net.SMTPAppender
92,org.apache.log4j.lf5.StartLogFactor5
175,org.apache.log4j.lf5.viewer.LogTableRowRenderer
44,org.apache.log4j.helpers.CyclicBuffer
202,org.apache.log4j.or.sax.AttributesRenderer
243,org.apache.log4j.varia.LevelRangeFilter
57,org.apache.log4j.helpers.PatternParser$CategoryPatternConverter
256,org.apache.log4j.xml.Log4jEntityResolver
132,org.apache.log4j.lf5.viewer.LogBrokerMonitor$13
141,org.apache.log4j.lf5.viewer.LogBrokerMonitor$21
125,org.apache.log4j.lf5.viewer.FilteredLogTableModel
222,org.apache.log4j.spi.LoggingEvent
228,org.apache.log4j.spi.RepositorySelector
199,org.apache.log4j.or.jms.MessageRenderer
216,org.apache.log4j.spi.ErrorHandler
233,org.apache.log4j.spi.VectorWriter
223,org.apache.log4j.spi.NOPLogger
6,org.apache.log4j.Category
207,org.apache.log4j.PropertyWatchdog
32,org.apache.log4j.config.PropertySetterException
166,org.apache.log4j.lf5.viewer.LogFactor5InputDialog$2
21,org.apache.log4j.chainsaw.LoggingReceiver
50,org.apache.log4j.helpers.Loader
168,org.apache.log4j.lf5.viewer.LogFactor5InputDialog
142,org.apache.log4j.lf5.viewer.LogBrokerMonitor$22
215,org.apache.log4j.spi.ErrorCode
195,org.apache.log4j.net.TelnetAppender$SocketHandler
247,org.apache.log4j.varia.StringMatchFilter
63,org.apache.log4j.helpers.PatternParser$NamedPatternConverter
242,org.apache.log4j.varia.LevelMatchFilter
79,org.apache.log4j.jmx.LoggerDynamicMBean
165,org.apache.log4j.lf5.viewer.LogFactor5InputDialog$1
123,org.apache.log4j.lf5.viewer.configure.ConfigurationManager
27,org.apache.log4j.chainsaw.XMLFileHandler
143,org.apache.log4j.lf5.viewer.LogBrokerMonitor$23
254,org.apache.log4j.xml.DOMConfigurator$ParseAction
212,org.apache.log4j.spi.AppenderAttachable
33,org.apache.log4j.ConsoleAppender$SystemErrStream
239,org.apache.log4j.varia.FallbackErrorHandler
235,org.apache.log4j.TestThrowableStrRep
99,org.apache.log4j.lf5.util.ResourceUtils
72,org.apache.log4j.HTMLLayout
101,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryAbstractCellEditor
96,org.apache.log4j.lf5.util.LogFileParser
194,org.apache.log4j.net.SyslogAppender
24,org.apache.log4j.chainsaw.MyTableModel$1
110,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor$1
144,org.apache.log4j.lf5.viewer.LogBrokerMonitor$24
30,org.apache.log4j.config.PropertyPrinter
16,org.apache.log4j.chainsaw.DetailPanel
89,org.apache.log4j.lf5.LogRecord
127,org.apache.log4j.lf5.viewer.LF5SwingUtils
53,org.apache.log4j.helpers.OnlyOnceErrorHandler
204,org.apache.log4j.PatternLayout
189,org.apache.log4j.net.SocketAppender
39,org.apache.log4j.FileAppender
18,org.apache.log4j.chainsaw.ExitAction
245,org.apache.log4j.varia.ReloadingPropertyConfigurator
211,org.apache.log4j.SimpleLayout
167,org.apache.log4j.lf5.viewer.LogFactor5InputDialog$3
163,org.apache.log4j.lf5.viewer.LogFactor5ErrorDialog$1
164,org.apache.log4j.lf5.viewer.LogFactor5ErrorDialog
118,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor
108,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryImmediateEditor
230,org.apache.log4j.spi.RootLogger
59,org.apache.log4j.helpers.PatternParser$DatePatternConverter
173,org.apache.log4j.lf5.viewer.LogTableColumnFormatException
240,org.apache.log4j.varia.HUP
94,org.apache.log4j.lf5.util.DateFormatManager
81,org.apache.log4j.Layout
51,org.apache.log4j.helpers.LogLog
104,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel$1
22,org.apache.log4j.chainsaw.Main$1
0,org.apache.log4j.Appender
91,org.apache.log4j.lf5.PassingLogRecordFilter
14,org.apache.log4j.chainsaw.ControlPanel$7
87,org.apache.log4j.lf5.LogLevel
93,org.apache.log4j.lf5.util.AdapterLogRecord
2,org.apache.log4j.AsyncAppender$DiscardSummary
152,org.apache.log4j.lf5.viewer.LogBrokerMonitor$31
36,org.apache.log4j.DailyRollingFileAppender
137,org.apache.log4j.lf5.viewer.LogBrokerMonitor$18
71,org.apache.log4j.Hierarchy
46,org.apache.log4j.helpers.DateTimeDateFormat
161,org.apache.log4j.lf5.viewer.LogBrokerMonitor
229,org.apache.log4j.spi.RootCategory
55,org.apache.log4j.helpers.PatternConverter
19,org.apache.log4j.chainsaw.LoadXMLAction
62,org.apache.log4j.helpers.PatternParser$MDCPatternConverter
171,org.apache.log4j.lf5.viewer.LogTable
179,org.apache.log4j.MDC
119,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditorRenderer
181,org.apache.log4j.NDC
185,org.apache.log4j.net.SimpleSocketServer
13,org.apache.log4j.chainsaw.ControlPanel$6
214,org.apache.log4j.spi.DefaultRepositorySelector
153,org.apache.log4j.lf5.viewer.LogBrokerMonitor$32
253,org.apache.log4j.xml.DOMConfigurator$5
150,org.apache.log4j.lf5.viewer.LogBrokerMonitor$3
231,org.apache.log4j.spi.ThrowableInformation
170,org.apache.log4j.lf5.viewer.LogTable$LogTableListSelectionListener
208,org.apache.log4j.ProvisionNode
138,org.apache.log4j.lf5.viewer.LogBrokerMonitor$19
86,org.apache.log4j.lf5.Log4JLogRecord
82,org.apache.log4j.Level
172,org.apache.log4j.lf5.viewer.LogTableColumn
73,org.apache.log4j.jdbc.JDBCAppender
12,org.apache.log4j.chainsaw.ControlPanel$5
78,org.apache.log4j.jmx.LayoutDynamicMBean
105,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel
252,org.apache.log4j.xml.DOMConfigurator$4
260,org.apache.log4j.xml.XMLWatchdog
191,org.apache.log4j.net.SocketHubAppender
80,org.apache.log4j.jmx.MethodUnion
90,org.apache.log4j.lf5.LogRecordFilter
140,org.apache.log4j.lf5.viewer.LogBrokerMonitor$20
5,org.apache.log4j.BasicConfigurator
225,org.apache.log4j.spi.NullWriter
48,org.apache.log4j.helpers.FormattingInfo
182,org.apache.log4j.net.DefaultEvaluator
106,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerTree$1
11,org.apache.log4j.chainsaw.ControlPanel$4
121,org.apache.log4j.lf5.viewer.categoryexplorer.CategoryPath
251,org.apache.log4j.xml.DOMConfigurator$3
98,org.apache.log4j.lf5.util.Resource
257,org.apache.log4j.xml.SAXErrorHandler
34,org.apache.log4j.ConsoleAppender$SystemOutStream
